Sample	ATG5 	Cleaved Caspase 3 D175 	Cleaved Caspase 7 D198 	Cleaved Caspase 9 D330 	Cleaved Fodrin a D1185 	Cleaved PARP D214 	Cyclin A 	Cyclin B1 	Cyclin D1	EGFR 	ErbB2 	ErbB3 	ErbB4 	LC3B 	Nanog 	p4E-BP1 S65 	p4E-BP1 T37/46 	pAcetyl-CoA Carboxylase S79 	pAck1 Y284 	pAck1 Y857/858 	pAdducin S662 	pAKT S473 	pAKT T308 	pALK Y1604 	pAMPK a1 S485 	pAMPK B1 S108 	pA-Raf S299 	pArrestin1 B S412 	pASK1 S83 	pATF-2 T69/71 	pATF-2 T71 	pATP-Citrate Lyase S454 	pAurora A/B/C T288/232/198 	pBAD S112 	pBAD S136 	pBAD S155 	pBcl-2 S70 	pB-Raf S445 	pc-Abl T735 	pc-Abl Y245 	pCatenin B S33/37/T41 	pChk-1 S345 	pChk-2 S33/35 	pc-Kit Y719 	pCofilin S3 	pc-PLA2 S505 	pc-Raf S338 	pCREB S133 	pCrkII Y221 	pCrkL Y207 	pCyclin D1 T286 	pEGFR S1046/1047 	pEGFR Y1068 	pEGFR Y1148 	pEGFR Y1173 	pEGFR Y992 	peIF4E S209 	peIF4G S1108 	pElk-1 S383 	peNOS S113 	peNOS S1177 	peNOS/NOSIII S116 	pErbB2 Y1248 	pErbB3 Y1197 	pErbB3 Y1289 	pERK 1/2 T202/Y204 	pEzrin Y353 	pEzrin/Radixin/Moesin T567/564/558 	pFADD S194 	pFAK Y397 	pFKHR S256 	pFKHR/FKHRL1 T24/32 	pFKHRL1 S253 	pFRS2-a Y436 	pGab1 Y627 	pGSK3 a/B S21/9 	pHistone H3 S10 	pHistone H3 S28 	pIGF-1 Rec/IR Y1131/1146 	pIGF-1R/IR Y1135/36/1150/51 	pIkBa S32/36 	pIRS-1 S612 	pJak2 Y1007 	pLKB1 S334 	pLKB1 S428 	pMARCKs S152/156 	pMEK 1/2 S217/221 	pMEK1 S298 	pMet Y1234/35 	pMSK1 S360 	pMst1/2 T183/180 	pmTOR S2448 	pNFkB p65 S536 	pNPM T199 	pp27 T187 	pp53 S15 	pp70 S6 Kinase S371 	pp70 S6 Kinase T389 	pp70 S6 Kinase T412 	pp90RSK S380 	pp90RSK T359/S363 	pPAK1/2 S199/204/S192/197 	pPAK1/2 T423/402 	pPaxillin Y118 	pPDGFR B Y751 	pPDK1 S241 	pPKA C T197 	pPKC (pan) BII S660 	pPKC a/BII T638/641 	pPKC alpha S657 	pPKC delta T505 	pPKC theta T538 	pPKC zeta/lambda T410/403 	pPLC gamma 1 Y783 	pPLK1 T210	pPRAS40 T246 	pPRK1/2 T774/816 	pPTEN S380 	pPyk2 Y402 	pRaf S259 	pRas-GRF1 S916 	pRet Y905 	pRon Y1353 	pRSK3 T356/S360 	pS6 Ribosomal Protein S235/236 	pS6 Ribosomal Protein S240/244 	pSAPK/JNK T183/Y185 	pSGK1 S78 	pShc Y317 	pSHIP1 Y1020 	pSHP2 Y580 	pSmad1/5/8 SS/SS/SS 	pSmad2 S245/250/255 	pSmad2 S465/467 	pSrc Family Y416 	pStat1 Y701	pStat2 Y690 	pStat3 S727 	pStat3 Y705 	pStat4 Y693 	pStat5 Y694 	pStat6 Y641 	pTuberin/TSC2 Y1571 	pTyk2 Y1054/1055 	pVEGFR 2 Y1175 	pVEGFR 2 Y951 	pVEGFR 2 Y996 	Vimentin 
Lysate 27 	20743.74	9788.86	10006.60	12913.13	6386.87	1311.60	3983.83	29732.62	3232.47	63576.58	35596.39	4402.82	5843.00	3174.80	4154.72	108012.27	126753.56	22697.27	2298.47	4900.05	13029.88	16415.81	0.00	10157.83	13946.73	4407.22	12419.21	2018.28	6063.24	2132.39	5475.29	10229.18	7331.97	5229.13	9595.02	8664.59	15184.04	61083.71	6476.92	6634.25	17872.18	0.00	0.00	13877.17	97733.51	9090.63	49020.81	4442.62	15851.18	26903.18	0.00	0.00	21461.16	15078.12	21741.99	3547.50	4870.74	56954.03	9946.74	2012.23	11778.13	19990.25	25848.29	14328.41	25336.48	54720.84	2048.78	1373.34	5177.10	6198.11	6561.66	9847.76	0.00	5187.46	4242.89	7457.68	0.00	2287.01	2678.47	6555.11	8973.22	4675.07	4113.38	6988.35	4411.63	3862.23	1637.62	2401.86	71682.38	3721.94	14030.65	13480.50	5497.23	7950.58	5491.74	1540.71	18863.80	25336.48	49020.81	0.00	0.00	0.00	7585.55	44355.85	30946.03	47572.04	9769.30	6768.26	5084.75	18901.57	11932.25	3053.37	44355.85	2160.29	17765.25	35596.39	76114.93	15978.51	5901.72	6863.68	4856.14	5779.08	4064.31	20292.37	5756.01	17483.28	5704.44	10927.08	4623.93	3688.59	10551.25	31888.47	8103.08	5260.60	9027.22	4311.32	30946.03	27722.50	10157.83	18033.75	58104.61	13739.08	8493.02	15962.55	6568.23	5208.25	10086.97	4532.37
Lysate 28 	28001.12	9936.80	11672.60	13213.58	8716.73	0.00	5990.92	15521.78	3035.10	39735.50	19791.34	0.00	5727.30	9740.04	4619.31	84120.04	92042.00	8266.78	3213.13	5984.93	35596.39	11361.67	3593.93	8681.94	12124.70	5437.09	9246.50	3456.46	8569.80	2192.94	1876.19	18694.80	6574.81	8991.19	11350.30	11801.72	15444.38	30031.45	16042.55	14086.90	18920.47	0.00	0.00	14457.96	75357.56	6496.38	44355.85	14676.46	3963.96	22471.44	0.00	0.00	1226.60	14603.26	6039.04	2382.72	5925.38	40134.85	12283.35	4044.04	15946.59	9018.20	15290.70	10551.25	5647.68	64215.49	2654.47	1809.85	5334.76	4587.08	8586.96	44801.64	0.00	5044.23	1232.75	9200.38	0.00	1548.43	5281.68	5039.18	11533.37	9537.63	0.00	7871.47	11025.87	12394.40	2740.79	2596.71	10530.17	3651.89	16122.96	37421.46	11259.87	8160.00	3778.19	0.00	8937.40	20130.67	52575.20	1557.75	0.00	0.00	8046.56	106937.51	7555.27	60475.90	14913.16	19341.34	21461.16	66171.19	14632.49	4788.63	17361.32	2705.39	20681.61	28282.54	52575.20	32208.97	11968.10	7847.89	4651.75	4096.96	6002.91	43477.56	25591.09	40538.19	4984.06	16236.22	2259.73	6210.52	18453.33	32859.61	7037.44	6568.23	18638.79	7310.01	27173.57	30333.25	38561.14	12708.16	53637.32	3703.38	9946.74	13507.49	6335.98	4536.90	11719.39	4909.85
Lysate 29 	30638.11	10916.17	8225.55	24100.80	10229.18	0.00	5135.85	29436.77	5324.11	75357.56	36680.49	2683.83	5664.65	4359.01	4670.40	171099.44	80017.45	3415.23	2443.04	5675.99	8910.63	30638.11	2838.41	8283.33	10331.99	4324.27	8937.40	3059.48	7769.80	2969.06	6981.37	11147.83	5431.66	7179.61	9433.29	11813.52	15229.65	43044.94	8349.86	6014.93	18269.71	0.00	0.00	13670.56	64215.49	7966.49	51534.17	1534.56	2502.39	11896.50	0.00	0.00	8358.21	18920.47	8964.25	3093.32	4536.90	66836.17	8459.12	2036.52	11896.50	17102.84	16915.74	12052.17	7677.12	46630.03	2601.91	1699.35	6154.88	6548.56	7547.71	14185.85	0.00	4703.21	2507.40	7525.10	0.00	2963.13	2901.55	10818.36	11081.14	19148.88	0.00	7201.18	5698.74	3816.16	2282.44	3340.92	30638.11	2683.83	48533.03	21183.98	4230.18	9108.83	4959.20	0.00	9081.55	22026.47	49513.49	1198.71	0.00	0.00	7051.53	52575.20	10383.78	54176.34	12784.65	11920.32	7376.10	24834.77	13453.57	4109.27	34544.37	2349.60	18732.22	53103.61	44355.85	20475.82	5049.28	10056.75	3597.52	5733.03	4442.62	64860.88	24100.80	32532.68	7855.74	17925.86	3622.79	4255.64	9867.48	15321.31	10363.03	12307.94	11441.48	5218.68	26635.48	42192.58	24100.80	12481.47	25084.37	6386.87	10981.86	17017.54	7058.59	5647.68	7942.63	3707.08
Lysate 30 	21611.91	10710.72	11980.07	24100.80	8242.02	4105.16	3271.49	6974.39	2214.98	101722.09	27722.50	1994.20	6093.64	2430.86	4363.37	17137.08	75357.56	80017.45	3354.31	5895.83	20973.19	24587.65	0.00	11338.97	11036.91	3831.46	7044.48	1622.95	28853.90	2844.09	4812.64	15459.82	4880.49	14002.62	20973.19	9518.57	14987.92	15537.32	7310.01	9358.12	21162.80	0.00	0.00	14414.65	71682.38	8786.75	28282.54	8127.43	4015.83	27446.67	0.00	0.00	38948.66	17518.28	27173.57	7302.70	12197.67	6039.04	7208.39	0.00	17085.75	13739.08	39340.11	12419.21	8973.22	33189.87	5110.23	1775.79	3940.25	4134.00	7762.03	32532.68	0.00	6342.32	2252.96	16383.02	0.00	1931.40	5318.79	4188.09	10764.41	3615.55	0.00	7510.07	2006.20	3655.55	2387.49	3032.07	9518.57	3766.87	9283.55	10667.95	4623.93	7317.32	4109.27	1571.84	6568.23	1779.34	21396.87	1948.86	0.00	0.00	103777.06	30031.45	5569.16	44355.85	15260.15	11338.97	4332.93	13386.47	11992.06	7631.19	26108.08	2738.05	19990.25	41772.79	32208.97	28566.79	12052.17	7692.49	4731.51	6960.45	7746.53	25084.37	0.00	1121.03	4505.26	17343.96	7016.36	3877.71	13253.27	35242.23	6279.21	8919.54	67507.90	5796.44	27722.50	37797.57	118184.27	12810.24	42616.63	5913.54	10188.35	21015.17	6204.31	3096.41	19418.85	5292.26
DM542 4-03 	26635.48	11884.62	11475.84	29143.87	7966.49	12258.80	1629.45	11293.69	2328.55	13359.73	17729.76	23155.79	7910.92	4496.26	4803.02	15693.47	21141.64	54720.84	2649.17	4807.82	52575.20	70969.12	25084.37	2151.67	30946.03	6279.21	2907.36	7465.15	18638.79	4984.06	16713.97	52575.20	17500.78	8510.02	29143.87	25591.09	15851.18	17570.91	27173.57	4389.63	21504.12	6680.85	1381.60	11968.10	53103.61	13003.83	25084.37	39735.50	1385.75	2460.21	2465.13	2921.93	0.00	19751.80	3398.19	4117.49	2460.21	42192.58	11192.51	2625.43	27446.67	21850.95	19692.63	10646.64	9847.76	26370.48	1369.22	13213.58	37049.14	2986.93	29143.87	45706.67	4307.01	3804.73	0.00	50513.70	2006.20	5675.99	2416.32	3294.47	9518.57	10498.63	0.00	8176.34	18882.67	6981.37	8168.17	3725.66	2119.64	5597.08	28282.54	19034.34	11825.34	15351.98	7122.40	1232.75	10249.66	5486.25	44355.85	5872.29	1275.38	4822.27	13253.27	0.00	12173.29	33523.44	25848.29	20010.26	6418.89	20191.16	21311.46	8192.71	11316.30	1362.40	18196.78	25084.37	41772.79	23860.98	2435.73	13794.15	6822.63	4044.04	4196.47	28282.54	31571.17	36315.50	5464.35	23860.98	1180.86	7638.83	6124.18	8266.78	9339.43	10519.64	2145.23	4389.63	21461.16	14157.50	16301.30	9740.04	14705.84	2512.42	10026.63	3391.41	6754.74	1946.91	4974.10	18196.78
DM542 6-00 	29732.62	13807.95	17413.49	27173.57	9367.49	14853.64	0.00	22471.44	2401.86	15229.65	17034.57	21741.99	8283.33	5192.65	5388.38	18398.05	35596.39	63576.58	2387.49	4994.04	53637.32	117008.29	40945.61	1594.00	35954.15	8078.81	2864.07	14883.37	19516.19	6721.05	23155.79	66171.19	24587.65	11498.83	33523.44	28282.54	18807.29	18545.83	33523.44	4298.41	23155.79	6002.91	0.00	12887.33	49513.49	16236.22	29143.87	31888.47	1374.71	3748.08	2433.29	4072.45	0.00	21916.61	3456.46	5281.68	3301.06	44355.85	13016.85	3165.29	30638.11	26370.48	19791.34	11170.15	11036.91	43044.94	1545.34	16814.54	47572.04	6795.39	33860.36	56387.32	5502.73	3952.09	0.00	55270.80	2552.94	6399.66	2479.97	3816.16	23388.52	12100.48	0.00	8308.21	22247.84	11695.97	10331.99	3519.24	2268.79	6039.04	25084.37	22925.38	11305.00	29143.87	11731.11	0.00	11920.32	8266.78	49513.49	7009.35	1670.70	5324.11	13160.82	0.00	13629.62	35954.15	27446.67	22925.38	6509.38	18807.29	28566.79	9145.35	11920.32	1567.13	13739.08	37421.46	40538.19	24587.65	2844.09	16448.67	6932.67	4712.62	4096.96	34200.64	35954.15	34891.55	6148.72	21698.53	1303.75	7593.14	6768.26	8681.94	11766.36	11649.28	1765.17	4367.74	18527.28	16058.60	21807.29	11271.13	15305.99	2852.64	10861.72	3422.07	7487.57	1898.84	5105.12	10290.75
DM542 7-01 	31571.17	9283.55	8804.34	26370.48	8875.05	10992.85	2100.65	25848.29	2838.41	14779.55	23623.56	31888.47	8283.33	4822.27	4836.76	18638.79	23860.98	76879.92	2527.54	4675.07	51534.17	50513.70	15398.11	1866.84	30638.11	7547.71	3576.00	10721.43	21525.64	5140.99	20910.36	50513.70	28001.12	10036.66	37049.14	26635.48	17783.04	21547.17	33189.87	4341.61	23155.79	12307.94	2063.17	11968.10	47098.68	16915.74	26108.08	41357.13	1481.78	3213.13	2450.38	3016.95	0.00	18564.39	3466.84	5054.33	2681.15	59874.14	14256.95	3995.80	30638.11	25591.09	15835.35	10218.96	9907.03	48050.11	1501.17	7030.41	54176.34	4596.27	37421.46	50513.70	4491.76	3572.42	0.00	42616.63	3029.04	8176.34	2594.11	3648.24	13835.59	10229.18	0.00	8910.63	22026.47	6856.83	11510.33	4064.31	2406.67	6870.55	25591.09	24587.65	14314.10	23155.79	7863.60	1246.38	15677.78	5084.75	47572.04	8030.48	1976.34	4031.93	13253.27	0.00	11591.18	37421.46	25084.37	27173.57	8586.96	23155.79	23388.52	9191.19	13359.73	1508.69	18508.77	23155.79	43477.56	19910.45	2649.17	16780.95	7480.09	4582.50	4536.90	25848.29	39340.11	36680.49	6204.31	22471.44	1280.49	8192.71	5925.38	10404.57	13121.41	14115.10	2044.69	4491.76	14913.16	16090.75	11338.97	10198.54	16090.75	2594.11	10710.72	3916.68	7108.17	1709.57	4900.05	15138.55
DM542 4-01 	29436.77	12344.92	15275.41	26903.18	8725.46	26370.48	1429.39	14299.79	2858.35	14661.80	18807.29	22247.84	7785.36	4363.37	5074.58	17000.54	29732.62	54720.84	2380.34	4684.43	48533.03	39735.50	18269.71	1876.19	28566.79	6594.56	3608.33	8795.54	18920.47	5591.48	21036.21	54176.34	23860.98	10764.41	37797.57	24100.80	16780.95	75357.56	35954.15	5715.86	22247.84	8630.00	1898.84	12344.92	55270.80	13891.04	24343.02	29436.77	1481.78	3505.19	2246.21	2951.30	0.00	18379.67	3432.35	4909.85	2889.97	34200.64	16780.95	3216.34	26108.08	24834.77	19302.70	9887.24	9054.35	80821.65	1513.23	26108.08	40538.19	4661.07	32208.97	52575.20	3804.73	3908.86	0.00	43914.49	1964.51	8111.19	2638.59	3377.87	12913.13	9808.45	0.00	7990.43	22471.44	10321.66	10446.26	3565.29	2749.02	5984.93	25084.37	19244.87	11579.60	23388.52	8266.78	1644.19	11305.00	5223.90	45706.67	6444.61	1487.72	3831.46	13918.86	4158.88	10540.70	36680.49	24100.80	23155.79	7368.72	21741.99	24343.02	10157.83	11092.23	1478.82	20150.82	25848.29	38948.66	22697.27	3477.26	12810.24	5636.40	4345.95	4420.46	28566.79	32532.68	32859.61	8054.61	23388.52	1232.75	6727.78	6974.39	8690.62	11944.18	10477.65	2354.30	3561.73	16713.97	15946.59	15199.22	10188.35	18958.36	2681.15	9740.04	3463.38	6535.47	2065.24	5790.65	11282.41
DM542 4-30 	26108.08	22697.27	39340.11	30638.11	9471.10	87553.04	1701.05	13226.79	2186.37	13946.73	9847.76	19322.02	8751.67	3869.96	5756.01	9027.22	7793.15	17872.18	2484.93	4532.37	22925.38	5029.12	2980.96	1749.35	13121.41	4455.97	3707.08	4332.93	18732.22	3740.60	9499.56	21247.61	10710.72	3699.67	26108.08	12657.44	14457.96	10425.39	13494.00	3361.02	16481.60	3999.80	0.00	12444.08	40538.19	6836.29	20743.74	11660.94	1095.54	0.00	1707.87	2040.60	0.00	18069.85	3209.92	4722.06	2038.56	10198.54	8955.30	1537.63	10056.75	11510.33	26903.18	9720.58	5024.09	24834.77	1419.41	12307.94	11591.18	4890.26	12708.16	15930.64	3418.65	4003.80	0.00	15521.78	1222.92	5324.11	2810.17	3330.91	11695.97	6687.53	0.00	8821.97	9027.22	6260.40	5790.65	4230.18	2179.82	5125.58	14285.50	8308.21	5750.26	12222.09	5120.46	0.00	4469.36	2228.31	17836.45	3533.34	1059.97	2063.17	9405.03	1543.80	6204.31	15740.61	19072.45	10086.97	4856.14	8760.43	16580.78	6317.00	4600.87	1358.31	15168.86	9348.77	26108.08	12406.80	2628.06	6204.31	4341.61	2721.67	3770.64	15305.99	5491.74	12246.56	3808.54	19950.31	1160.96	5819.67	6932.67	5715.86	5625.14	8839.63	1689.18	3561.73	13629.62	13069.02	23860.98	9237.25	17535.81	1881.83	10796.74	2307.68	6317.00	1806.24	4846.44	4385.24
DM542 6-03 	28282.54	10383.78	14299.79	27446.67	7398.26	12016.07	1517.77	16730.70	3127.53	14913.16	15867.05	21872.82	7420.49	4259.90	4341.61	18434.88	25591.09	73865.42	2435.73	4398.42	49513.49	87553.04	27446.67	1714.71	35596.39	8433.78	3912.77	7707.89	23155.79	8258.51	29143.87	57526.45	26635.48	17943.80	33189.87	32532.68	17465.79	24343.02	38948.66	4846.44	25084.37	8848.47	2298.47	11626.01	44355.85	17309.31	24587.65	33523.44	1112.09	3261.69	3121.28	3361.02	0.00	22697.27	3284.60	4464.89	2594.11	48050.11	21547.17	2951.30	29143.87	27722.50	25591.09	9996.60	11248.61	118184.27	1362.40	11036.91	52575.20	3508.70	36680.49	52052.06	4628.55	3831.46	0.00	54176.34	3547.50	8383.33	2418.73	3371.12	10467.18	14647.13	0.00	8349.86	44355.85	7547.71	12771.86	4726.78	2433.29	6856.83	33189.87	22697.27	8527.06	23388.52	9395.63	1258.91	11684.29	4142.28	54176.34	10086.97	2452.84	4740.98	13467.04	0.00	12357.27	34544.37	21741.99	23155.79	5049.28	13373.10	28001.12	11350.30	10796.74	1449.54	18769.72	36315.50	37797.57	21120.52	2354.30	20910.36	15168.86	4150.57	3491.20	30333.25	54720.84	43914.49	8716.73	19633.65	1117.67	8192.71	6574.81	8135.56	12861.58	9339.43	1553.09	2957.21	14676.46	14400.24	16764.19	10107.16	16881.95	2487.42	10208.74	2913.18	7251.76	1733.68	5203.05	12197.67
DM542 6-30 	31571.17	20030.27	35242.23	30638.11	11305.00	45706.67	0.00	20211.35	1853.81	16730.70	18996.31	33189.87	9847.76	4217.51	6348.66	14058.74	10572.38	73865.42	2565.73	6210.52	36680.49	22925.38	7346.66	1590.81	25848.29	8038.51	3177.98	9154.49	26635.48	10905.25	29143.87	33860.36	19594.43	6142.58	30946.03	21332.79	17518.28	17535.81	39735.50	5442.54	26635.48	8795.54	1478.82	14501.39	44355.85	14486.90	19015.31	23155.79	1597.19	2307.68	1236.45	2119.64	0.00	18142.27	3854.51	5704.44	3320.93	28853.90	16122.96	2620.18	21078.32	24100.80	20312.66	11754.60	8476.05	70969.12	1704.45	10807.55	37049.14	4473.83	27173.57	32532.68	5574.74	4703.21	0.00	29732.62	2044.69	6747.99	3425.49	4238.65	16915.74	12332.58	0.00	10970.89	18958.36	6555.11	11395.79	4315.64	2673.12	7895.12	15584.00	13656.90	11418.62	22247.84	11259.87	1627.82	11237.36	2757.28	28566.79	4974.10	1682.44	2411.49	12307.94	2960.16	11778.13	24834.77	21247.61	18398.05	6374.11	13480.50	23155.79	10117.28	8283.33	1844.57	15367.35	17309.31	35596.39	19535.72	4146.42	11092.23	7816.56	4587.08	5519.27	23388.52	19015.31	26108.08	7638.83	23623.56	1392.70	8233.77	8038.51	9283.55	9730.30	13548.08	2784.99	8604.15	18015.72	15321.31	14357.10	9847.76	20394.09	2300.77	12468.99	2933.64	7324.65	2155.98	5597.08	7998.43
DM542 5-03 	21829.12	8919.54	8022.46	25591.09	7273.55	4311.32	3099.51	5591.48	2287.01	10678.63	9405.03	14632.49	6884.31	4167.20	5480.77	18882.67	34891.55	53637.32	3209.92	5464.35	56954.03	50011.07	17925.86	1730.21	32532.68	7237.28	2239.48	6476.92	20292.37	6535.47	26108.08	69563.80	9518.57	11125.56	31888.47	29143.87	17119.96	49020.81	26635.48	7237.28	21720.25	3699.67	0.00	13780.37	10498.63	16465.12	24587.65	39735.50	1436.55	6627.61	3442.66	2319.25	0.00	23860.98	4268.43	6438.18	3673.87	22925.38	20434.91	5197.85	21099.40	30333.25	27722.50	10488.14	6367.74	120571.69	1276.66	17729.76	36680.49	2869.81	26108.08	52575.20	2998.90	4491.76	0.00	38948.66	1968.45	6939.61	3149.50	4105.16	12246.56	14794.34	0.00	10742.89	17257.46	14676.46	4610.08	4023.87	2757.28	10625.37	21720.25	14691.15	5972.97	15787.91	6051.13	0.00	8501.52	5151.28	47572.04	4555.09	958.15	3850.66	10861.72	1432.25	9108.83	28853.90	24834.77	23860.98	8094.98	23623.56	29436.77	8250.26	8408.51	1354.25	22471.44	26108.08	36315.50	26903.18	3105.72	8103.08	5704.44	4523.31	4407.22	37797.57	9200.38	20660.93	9395.63	21633.54	1336.75	5420.80	8875.05	7317.32	11884.62	11801.72	1589.22	4707.91	33860.36	18087.94	34200.64	11361.67	21332.79	3013.93	11293.69	3190.71	6654.18	2173.30	5541.39	14342.75
DM542 8-10 	27173.57	10446.26	6863.68	27173.57	8467.58	2387.49	2762.80	7646.48	3456.46	15521.78	13253.27	24100.80	8777.97	5187.46	5704.44	20050.31	28566.79	84965.48	2594.11	5409.97	60475.90	62943.97	19168.05	1817.11	39735.50	10551.25	2479.97	10311.35	48050.11	9395.63	41772.79	76114.93	21894.71	13629.62	40538.19	30638.11	20070.36	22925.38	37421.46	6680.85	24834.77	7855.74	0.00	13082.10	55270.80	19283.39	22697.27	47572.04	1833.53	6057.18	1422.26	2034.49	0.00	28001.12	4158.88	5889.93	3688.59	29143.87	28566.79	2746.27	31257.05	33523.44	21525.64	10796.74	7762.03	176310.15	1528.44	25336.48	36315.50	3901.05	40538.19	75357.56	5135.85	4350.30	0.00	47572.04	2208.35	10076.89	3287.88	4745.73	13095.18	21720.25	0.00	9996.60	24587.65	11614.38	7982.44	4134.00	3190.71	16317.60	23155.79	26108.08	10107.16	26108.08	10593.54	0.00	11147.83	4134.00	58104.61	7785.36	1499.67	8875.05	13453.57	4438.18	10016.61	37049.14	28001.12	35596.39	12556.58	33523.44	32532.68	10198.54	8742.93	1749.35	20516.81	30333.25	40134.85	29732.62	4158.88	14957.98	7754.28	5773.31	5286.97	52052.06	22697.27	28001.12	11441.48	23388.52	1370.59	7405.66	8358.21	9575.85	17017.54	12004.05	2617.57	4642.46	28566.79	24100.80	25848.29	10710.72	24343.02	3102.61	11203.71	4803.02	7086.88	2158.14	6741.25	20030.27
DM628 2-03 	30031.45	14603.26	19633.65	28853.90	10657.30	38948.66	0.00	14735.28	2573.44	18676.10	29436.77	37049.14	8973.22	3920.60	4969.13	22925.38	17309.31	67507.90	2182.01	4670.40	44355.85	15002.92	7079.79	1937.20	32208.97	8544.14	3219.56	15168.86	66836.17	7966.49	33189.87	57526.45	16106.86	14030.65	47098.68	30031.45	17017.54	22697.27	37797.57	6323.32	26635.48	17623.71	3422.07	12016.07	33860.36	15646.46	20910.36	46630.03	1560.87	2884.19	2633.32	2832.74	0.00	22471.44	3710.79	4582.50	3174.80	41357.13	26903.18	3608.33	32859.61	33523.44	19244.87	11556.46	8561.24	75357.56	1477.34	38948.66	34544.37	8103.08	48533.03	47098.68	3558.16	3770.64	0.00	42616.63	2109.06	13319.70	2904.45	4040.00	16026.52	13253.27	0.00	9926.87	33523.44	8135.56	13821.77	4798.22	2869.81	11719.39	25591.09	19034.34	11418.62	19015.31	8400.11	1480.30	11407.20	2675.79	39340.11	9442.72	2519.96	3763.11	15459.82	5361.50	9330.09	34544.37	25848.29	33523.44	12382.01	23860.98	28001.12	15305.99	7762.03	1519.29	17257.46	18527.28	33523.44	20332.99	3714.50	21938.54	11672.60	5229.13	4698.51	33860.36	17017.54	20475.82	7051.53	26108.08	1216.82	8433.78	7251.76	10689.32	16236.22	15367.35	3785.75	4354.65	11660.94	23860.98	21247.61	9136.20	24834.77	2387.49	11754.60	3307.67	7065.65	2104.85	6431.74	15305.99
DM628 8-03 	22697.27	10006.60	6960.45	28001.12	9000.18	3010.92	2296.17	2963.13	3184.34	13042.91	16814.54	31888.47	8973.22	3881.59	5089.83	20272.08	18601.55	64860.88	2697.28	5756.01	49513.49	32208.97	8673.26	1614.85	34200.64	8928.47	3317.61	13016.85	56387.32	7777.57	28566.79	55270.80	5919.46	13016.85	42616.63	26108.08	18233.21	24343.02	32208.97	5166.76	23155.79	11521.85	1104.34	13069.02	47572.04	17343.96	24343.02	52575.20	1649.12	6680.85	2633.32	2954.25	0.00	25591.09	3744.34	5687.35	3608.33	22925.38	30031.45	2945.40	28001.12	41772.79	22471.44	12004.05	6045.08	161135.32	1394.09	29143.87	30946.03	3714.50	37797.57	61697.56	3839.13	3995.80	0.00	41357.13	1079.23	9330.09	2986.93	4209.08	11407.20	19110.63	0.00	9302.14	21894.71	10753.64	6781.81	4712.62	2612.34	17343.96	21120.52	24343.02	8135.56	10700.01	4817.45	0.00	11568.02	4438.18	38561.14	6918.82	1846.41	2465.13	12052.17	1645.83	7086.88	33189.87	29732.62	34891.55	14228.46	32208.97	30638.11	8308.21	7934.69	1269.02	19672.95	21785.51	37797.57	30946.03	3102.61	15787.91	9081.55	5825.50	5029.12	29436.77	11407.20	19811.15	8094.98	20847.72	1245.14	6891.20	7193.98	9442.72	18015.72	13932.78	1513.23	4372.11	23860.98	28001.12	26635.48	9956.69	17800.82	2641.23	11316.30	3854.51	7101.06	2042.64	5580.31	14809.14
HeLa Untreated	12357.27	6266.67	13386.47	23623.56	7895.12	10646.64	2740.79	24587.65	1445.20	18863.80	10927.08	0.00	7800.94	5426.23	5292.26	22471.44	76114.93	6483.40	3622.79	6063.24	22026.47	0.00	0.00	2138.80	9837.93	2257.47	5990.92	4661.07	10742.89	10188.35	60475.90	10147.68	6634.25	4989.05	8103.08	10394.16	15946.59	12746.35	6555.11	5784.86	17448.35	2477.49	0.00	14705.84	31571.17	8595.55	16317.60	31888.47	7065.65	9163.65	1650.77	0.00	0.00	19053.38	4564.21	3411.82	2316.93	12695.47	11036.91	2226.09	9163.65	20599.04	20640.29	9643.12	3050.31	2203.94	1274.11	8433.78	9720.58	0.00	6279.21	3016.95	7593.14	3774.41	0.00	3115.05	1684.12	1891.26	3633.68	3484.22	12173.29	6374.11	0.00	8062.67	3367.75	3115.05	0.00	2787.78	2182.01	14200.04	14544.96	7143.80	3187.53	7847.89	4984.06	0.00	9907.03	1252.63	9311.45	2998.90	0.00	1327.43	18124.14	0.00	1923.69	3068.67	4964.16	5197.85	5508.24	4146.42	5978.95	4084.68	3554.61	1726.76	23388.52	6946.55	1117.67	18788.49	3118.17	1016.38	0.00	2992.90	7376.10	15962.55	1351.54	3725.66	2287.01	13160.82	1041.07	2646.52	7302.70	14544.96	11282.41	7435.34	7122.40	5276.40	44355.85	21226.39	62943.97	7903.02	8734.18	2708.09	9847.76	2773.87	8699.32	1864.97	4523.31	2995.90
